field,cam,ncams,w,h,scroll,verts,e_p95,e_max,k_row1,rn_dev,ortho_err,det,pitch
fbg_n00_tshp_map001_th_cgr_0,0,2,480,320,1,164,0.01,0.02,0.93331,6e-05,0.00014,1.0,-27.86
fbg_n00_tshp_map001_th_cgr_0,1,2,640,224,1,164,0.03,0.04,0.93345,4e-05,6e-05,1.0,3.32
fbg_n00_tshp_map002_th_cgr_1,0,2,480,320,1,164,0.01,0.02,0.93331,6e-05,0.00014,1.0,-27.86
fbg_n00_tshp_map002_th_cgr_1,1,2,320,240,0,147,0.32,0.45,0.93323,3e-05,7e-05,1.0,-2.46
fbg_n00_tshp_map005_th_met_0,0,4,320,224,0,105,0.02,0.03,0.93337,0.00011,0.00015,1.0,-25.52
fbg_n00_tshp_map005_th_met_0,1,4,320,288,0,95,0.34,0.78,0.93331,0.0001,0.00015,1.0,-17.44
fbg_n00_tshp_map005_th_met_0,2,4,320,224,0,105,0.02,0.06,0.93326,8e-05,0.00011,1.0,2.83
fbg_n00_tshp_map005_th_met_0,3,4,320,224,0,38,0.09,0.37,0.93333,1e-05,4e-05,1.0,42.95
fbg_n00_tshp_map006c_th_met_4,0,1,320,224,0,105,0.02,0.03,0.93337,0.00011,0.00015,1.0,-25.52
fbg_n00_tshp_map007_th_orc_0,0,1,400,224,1,40,0.01,0.01,0.93336,8e-05,7e-05,1.0,-0.32
fbg_n00_tshp_map008_th_upr_0,0,1,432,224,1,78,0.04,0.05,0.93322,0.00011,0.00012,1.0,-5.79
fbg_n00_tshp_map009_th_bst_0,0,2,320,224,0,16,0.03,0.03,0.93341,0.00011,0.00013,1.0,5.9
fbg_n00_tshp_map009_th_bst_0,1,2,320,224,0,112,0.09,0.25,0.93345,0.0,0.0001,1.0,-14.36
fbg_n00_tshp_map011_th_stg_0,0,3,320,448,0,91,0.06,2.12,0.93323,2e-05,0.00018,1.0,14.53
fbg_n00_tshp_map011_th_stg_0,1,3,320,224,0,97,0.01,0.02,0.93345,0.0,0.0001,1.0,-14.36
fbg_n00_tshp_map011_th_stg_0,2,3,320,224,0,87,0.12,0.49,0.93341,9e-05,0.00019,1.0,16.23
fbg_n00_tshp_map011c_th_stg_3,0,3,320,224,0,89,0.03,0.28,0.93342,3e-05,0.00019,1.0,17.71
fbg_n00_tshp_map011c_th_stg_3,1,3,800,224,1,80,0.1,0.19,0.93323,5e-05,7e-05,1.0,4.24
fbg_n00_tshp_map011c_th_stg_3,2,3,416,304,1,97,0.01,0.02,0.9334,3e-05,3e-05,1.0,-18.34
