bx,by,tris,verts,dx,dz,dy,xmin,xmax,zmin,zmax,ymin,ymax,n_components,smallest_comp_tris,is_coastal,coastal_parts,idalls,topographs,events,areas,umin,umax,vmin,vmax,stride,channels,submeshes,parts,terrain_topographs,worldx,worldz
0,0,5,15,4.0,3.04,2.77,32.0,36.0,-36.0,-32.961,5.27,8.039,1,5,True,"[""sea4""]","{""16366"": 5}","{""59"": 5}","{""0"": 5}","{""63"": 5}",0.332,0.3818,0.3066,0.3525,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""0"": 91, ""37"": 95, ""49"": 134, ""58"": 86}","[32.0, 36.0]","[-36.0, -33.0]"
2,7,121,363,2.69,6.79,9.42,61.309,64.0,-29.312,-22.523,-3.352,6.066,1,121,True,"[""sea4""]","{""11502"": 121}","{""59"": 121}","{""0"": 121}","{""44"": 121}",0.0039,0.5684,0.2578,0.9932,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""19"": 169, ""45"": 5, ""49"": 26, ""58"": 51, ""59"": 8}","[189.3, 192.0]","[-477.3, -470.5]"
3,7,121,363,2.72,6.79,9.42,0.0,2.719,-29.312,-22.523,-3.352,6.066,1,121,True,"[""sea3"", ""sea4""]","{""11502"": 121}","{""59"": 121}","{""0"": 121}","{""44"": 121}",0.0039,0.5684,0.2578,0.9932,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""terrain""]","{""5"": 41, ""19"": 348, ""45"": 16, ""49"": 95, ""58"": 23, ""59"": 8}","[192.0, 194.7]","[-477.3, -470.5]"
3,9,22,66,1.89,2.14,3.41,30.922,32.816,-32.914,-30.773,0.0,3.41,3,3,True,"[""sea3"", ""sea4"", ""sea5""]","{""238"": 22}","{""59"": 22}","{""0"": 22}","{""0"": 22}",0.1348,0.1953,0.7051,0.7666,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""19"": 12, ""58"": 10}","[222.9, 224.8]","[-608.9, -606.8]"
4,3,14,42,6.4,20.22,11.74,57.602,64.0,-64.0,-43.781,21.941,33.684,1,14,True,"[""sea4""]","{""14022"": 14}","{""49"": 14}","{""0"": 14}","{""54"": 14}",0.0039,0.1279,0.0195,0.5791,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""27"": 75, ""49"": 98, ""58"": 30}","[313.6, 320.0]","[-256.0, -235.8]"
4,4,2,6,4.06,3.11,5.75,59.941,64.0,-3.105,0.0,23.062,28.816,1,2,True,"[""sea3"", ""sea4"", ""sea5""]","{""14022"": 2}","{""49"": 2}","{""0"": 2}","{""54"": 2}",0.0205,0.0713,0.5459,0.5791,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""7"": 12, ""27"": 114, ""49"": 96, ""58"": 62}","[315.9, 320.0]","[-259.1, -256.0]"
5,3,239,717,59.7,30.57,31.67,0.0,59.695,-64.0,-33.426,6.766,38.438,2,83,True,"[""sea3"", ""sea4""]","{""14022"": 83, ""14062"": 156}","{""49"": 83, ""59"": 156}","{""0"": 239}","{""54"": 239}",0.0039,0.6885,0.0059,0.5908,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""terrain""]","{""27"": 129, ""49"": 355, ""58"": 15, ""59"": 1}","[320.0, 379.7]","[-256.0, -225.4]"
5,4,29,87,24.0,5.71,12.93,0.0,24.0,-5.715,0.0,21.09,34.016,1,29,True,"[""sea3"", ""sea4"", ""sea5""]","{""14022"": 29}","{""49"": 29}","{""0"": 29}","{""54"": 29}",0.0039,0.1279,0.0371,0.5791,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""27"": 65, ""49"": 94, ""58"": 30}","[320.0, 344.0]","[-261.7, -256.0]"
5,11,2,6,4.55,4.53,4.64,54.93,59.484,-28.527,-24.0,6.875,11.512,1,2,True,"[""sea4""]","{""10734"": 2}","{""59"": 2}","{""0"": 2}","{""41"": 2}",0.6006,0.6309,0.3535,0.3838,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""6"": 24, ""19"": 9, ""20"": 133, ""38"": 106, ""45"": 7, ""46"": 178, ""49"": 147, ""58"": 31}","[374.9, 379.5]","[-732.5, -728.0]"
5,15,20,60,9.73,4.0,12.99,50.711,60.445,-64.0,-60.004,16.406,29.398,2,6,True,"[""sea3"", ""sea4"", ""sea5""]","{""12526"": 20}","{""59"": 20}","{""0"": 20}","{""48"": 20}",0.4707,0.502,0.6641,0.7256,48,"[0, 1, 3, 7]",1,"[""falls"", ""object"", ""river"", ""riverjoint"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""0"": 126, ""13"": 2, ""49"": 249, ""58"": 77}","[370.7, 380.4]","[-1024.0, -1020.0]"
5,16,47,141,9.23,8.0,9.98,54.766,64.0,-8.0,0.0,15.234,25.211,1,47,True,"[""sea3"", ""sea4"", ""sea5""]","{""12498"": 6, ""12526"": 33, ""28882"": 8}","{""52"": 14, ""59"": 33}","{""0"": 39, ""1"": 8}","{""48"": 47}",0.4707,0.5322,0.6641,0.7783,48,"[0, 1, 3, 7]",1,"[""falls"", ""object"", ""river"", ""riverjoint"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""0"": 67, ""13"": 15, ""49"": 162, ""58"": 43}","[374.8, 384.0]","[-1032.0, -1024.0]"
6,10,2,6,3.16,4.0,6.38,38.895,42.055,-8.0,-4.0,3.855,10.234,1,2,True,"[""sea3""]","{""10734"": 2}","{""59"": 2}","{""0"": 2}","{""41"": 2}",0.5381,0.5684,0.7314,0.793,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""terrain""]","{""19"": 11, ""20"": 176, ""38"": 48, ""46"": 233, ""49"": 153, ""58"": 6}","[422.9, 426.1]","[-648.0, -644.0]"
6,12,149,447,11.12,12.33,7.21,4.879,16.0,-36.0,-23.672,2.945,10.152,1,149,False,[],"{""10578"": 12, ""10734"": 132, ""26962"": 5}","{""20"": 17, ""59"": 132}","{""0"": 144, ""1"": 5}","{""41"": 149}",0.0039,0.626,0.1504,0.5234,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""20"": 70, ""46"": 334, ""49"": 184}","[388.9, 400.0]","[-804.0, -791.7]"
6,16,8,24,4.36,2.38,1.18,0.0,4.355,-2.383,0.0,15.234,16.41,1,8,True,"[""sea3"", ""sea4"", ""sea5""]","{""12498"": 8}","{""52"": 8}","{""0"": 8}","{""48"": 8}",0.4707,0.5322,0.7627,0.793,48,"[0, 1, 3, 7]",1,"[""object"", ""river"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""0"": 107, ""13"": 75, ""37"": 89, ""49"": 94, ""58"": 59}","[384.0, 388.4]","[-1026.4, -1024.0]"
7,13,7,21,1.71,16.0,6.63,58.66,60.375,-64.0,-48.0,-1.785,4.844,1,7,True,"[""sea3"", ""sea4""]","{""11758"": 5, ""28142"": 2}","{""59"": 7}","{""0"": 5, ""1"": 2}","{""45"": 7}",0.1338,0.2578,0.082,0.1436,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""terrain""]","{""6"": 27, ""20"": 174, ""23"": 21, ""46"": 123, ""49"": 66, ""58"": 51, ""59"": 22}","[506.7, 508.4]","[-896.0, -880.0]"
7,14,6,18,4.78,12.0,6.63,59.223,64.0,-12.0,0.0,-1.785,4.844,1,6,True,"[""sea3"", ""sea4"", ""sea5""]","{""28142"": 6}","{""59"": 6}","{""1"": 6}","{""45"": 6}",0.165,0.2578,0.082,0.1436,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""6"": 28, ""20"": 181, ""46"": 102, ""49"": 57, ""58"": 94, ""59"": 12}","[507.2, 512.0]","[-908.0, -896.0]"
8,13,7,21,3.77,16.0,6.63,1.027,4.801,-64.0,-48.0,-1.785,4.844,1,7,True,"[""sea4""]","{""11758"": 5, ""28142"": 2}","{""59"": 7}","{""0"": 5, ""1"": 2}","{""45"": 7}",0.1338,0.2578,0.082,0.1436,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""6"": 12, ""20"": 204, ""23"": 7, ""46"": 151, ""49"": 98, ""58"": 29, ""59"": 18}","[513.0, 516.8]","[-896.0, -880.0]"
8,14,10,30,3.91,12.0,8.28,0.895,4.801,-12.0,0.0,-1.785,6.496,2,3,True,"[""sea3"", ""sea4""]","{""28142"": 10}","{""59"": 10}","{""1"": 10}","{""45"": 10}",0.1338,0.6309,0.082,0.4199,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""terrain""]","{""6"": 1, ""20"": 161, ""38"": 53, ""46"": 108, ""49"": 71, ""58"": 101, ""59"": 75}","[512.9, 516.8]","[-908.0, -896.0]"
9,1,2,6,3.77,3.95,3.71,0.0,3.766,-28.902,-24.953,3.711,7.418,1,2,True,"[""sea3"", ""sea4"", ""sea5""]","{""14574"": 2}","{""59"": 2}","{""0"": 2}","{""56"": 2}",0.6318,0.6621,0.2812,0.3115,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""7"": 26, ""27"": 100, ""38"": 42, ""49"": 154, ""58"": 45}","[576.0, 579.8]","[-92.9, -89.0]"
9,17,26,78,8.99,8.87,6.83,15.008,24.0,-44.871,-36.0,-0.059,6.773,1,26,True,"[""beach1"", ""sea1"", ""sea2"", ""sea3"", ""sea4"", ""sea5""]","{""234"": 5, ""238"": 4, ""12782"": 14, ""16606"": 3}","{""55"": 3, ""58"": 5, ""59"": 18}","{""0"": 23, ""1"": 3}","{""0"": 12, ""49"": 14}",0.3623,0.5684,0.0977,0.5234,48,"[0, 1, 3, 7]",1,"[""beach1"", ""object"", ""sea1"", ""sea2"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""0"": 113, ""31"": 12, ""58"": 46}","[591.0, 600.0]","[-1132.9, -1124.0]"
11,4,55,165,8.86,7.61,23.02,55.141,64.0,-64.0,-56.387,12.488,35.504,1,55,True,"[""sea4""]","{""8942"": 55}","{""59"": 55}","{""0"": 55}","{""34"": 55}",0.0039,0.1279,0.7461,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""17"": 200, ""58"": 46, ""59"": 43}","[759.1, 768.0]","[-320.0, -312.4]"
11,5,61,183,8.83,8.47,23.02,55.172,64.0,-8.473,0.0,12.488,35.504,1,61,True,"[""sea4""]","{""8942"": 61}","{""59"": 61}","{""0"": 61}","{""34"": 61}",0.0039,0.1279,0.7461,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""17"": 261, ""58"": 47, ""59"": 46}","[759.2, 768.0]","[-328.5, -320.0]"
12,4,62,186,8.78,8.7,23.02,0.0,8.781,-64.0,-55.305,12.488,35.504,1,62,True,"[""sea4""]","{""8942"": 62}","{""59"": 62}","{""0"": 62}","{""34"": 62}",0.0039,0.1279,0.7529,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""17"": 377, ""58"": 36, ""59"": 43}","[768.0, 776.8]","[-320.0, -311.3]"
12,5,78,234,8.78,8.47,23.02,0.0,8.781,-8.473,0.0,12.488,35.504,1,78,True,"[""sea4""]","{""8942"": 78}","{""59"": 78}","{""0"": 78}","{""34"": 78}",0.0039,0.1279,0.7461,0.959,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""4"": 72, ""17"": 298, ""49"": 37, ""58"": 36, ""59"": 46}","[768.0, 776.8]","[-328.5, -320.0]"
13,4,4,12,7.56,5.77,0.88,19.656,27.215,-20.668,-14.898,6.008,6.887,1,4,True,"[""sea3"", ""sea4"", ""sea5""]","{""8942"": 2, ""25158"": 2}","{""17"": 2, ""59"": 2}","{""0"": 2, ""1"": 2}","{""34"": 4}",0.5381,0.5684,0.5967,0.6582,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""17"": 85, ""38"": 47, ""49"": 310, ""58"": 17, ""59"": 1}","[851.7, 859.2]","[-276.7, -270.9]"
13,5,56,168,6.79,6.22,3.88,57.215,64.0,-34.879,-28.656,8.652,12.531,1,56,False,[],"{""7150"": 56}","{""59"": 56}","{""0"": 56}","{""27"": 56}",0.0049,0.1279,0.5947,0.7402,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""17"": 48, ""38"": 7, ""49"": 431, ""58"": 2}","[889.2, 896.0]","[-354.9, -348.7]"
13,16,55,165,6.19,6.62,13.14,57.809,64.0,-64.0,-57.379,27.461,40.605,1,55,True,"[""sea3""]","{""36590"": 55}","{""59"": 55}","{""2"": 55}","{""14"": 55}",0.2939,0.6885,0.042,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""terrain""]","{""0"": 58, ""10"": 83, ""36"": 74, ""37"": 35, ""49"": 375, ""58"": 16}","[889.8, 896.0]","[-1088.0, -1081.4]"
13,17,109,327,36.18,16.16,38.14,27.816,64.0,-16.156,0.0,0.0,38.141,2,30,True,"[""sea4""]","{""2030"": 79, ""36590"": 30}","{""59"": 109}","{""0"": 79, ""2"": 30}","{""7"": 79, ""14"": 30}",0.2939,0.665,0.0664,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""sea4"", ""terrain""]","{""0"": 88, ""10"": 5, ""49"": 120, ""58"": 67, ""59"": 1}","[859.8, 896.0]","[-1104.2, -1088.0]"
14,2,67,201,12.85,8.0,6.27,7.152,20.0,-64.0,-56.0,0.0,6.27,1,67,True,"[""sea3"", ""sea4"", ""sea5""]","{""8430"": 67}","{""59"": 67}","{""0"": 67}","{""32"": 67}",0.1367,0.5166,0.0146,0.6582,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""17"": 72, ""18"": 15, ""38"": 49, ""58"": 30}","[903.2, 916.0]","[-192.0, -184.0]"
14,3,16,48,11.79,4.0,4.3,8.211,20.0,-4.0,0.0,0.434,4.734,1,16,True,"[""sea3"", ""sea4"", ""sea5""]","{""8430"": 16}","{""59"": 16}","{""0"": 16}","{""32"": 16}",0.1338,0.5322,0.0283,0.6582,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""4"": 16, ""17"": 206, ""38"": 76, ""49"": 33, ""58"": 37}","[904.2, 916.0]","[-196.0, -192.0]"
14,5,96,288,7.89,6.22,4.93,0.0,7.887,-35.184,-28.965,8.41,13.34,1,96,False,[],"{""7150"": 96}","{""59"": 96}","{""0"": 96}","{""27"": 96}",0.0049,0.1953,0.585,0.8965,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""4"": 79, ""17"": 317, ""38"": 35, ""49"": 150}","[896.0, 903.9]","[-355.2, -349.0]"
14,6,54,162,45.24,15.99,6.97,17.074,62.316,-17.676,-1.684,1.598,8.57,2,24,True,"[""sea3"", ""sea4"", ""sea5""]","{""7110"": 2, ""7150"": 28, ""7406"": 24}","{""49"": 2, ""59"": 52}","{""0"": 54}","{""27"": 30, ""28"": 24}",0.2695,0.3613,0.4258,0.7256,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""17"": 149, ""38"": 70, ""49"": 80, ""58"": 38}","[913.1, 958.3]","[-401.7, -385.7]"
14,10,20,60,4.87,3.18,4.61,59.129,64.0,-64.0,-60.82,7.23,11.844,1,20,True,"[""sea3"", ""sea4"", ""sea5""]","{""2542"": 20}","{""59"": 20}","{""0"": 20}","{""9"": 20}",0.4658,0.5811,0.2236,0.832,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""0"": 121, ""13"": 3, ""49"": 266, ""58"": 61}","[955.1, 960.0]","[-704.0, -700.8]"
14,11,111,333,4.87,11.7,10.02,59.129,64.0,-11.695,0.0,2.77,12.789,1,111,False,[],"{""2542"": 111}","{""59"": 111}","{""0"": 111}","{""9"": 111}",0.3945,0.5898,0.0156,0.8311,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 94, ""16"": 71, ""41"": 39, ""49"": 378}","[955.1, 960.0]","[-715.7, -704.0]"
14,14,38,114,1.78,4.71,1.36,37.34,39.121,-48.262,-43.547,3.773,5.129,1,38,True,"[""sea3""]","{""1774"": 38}","{""59"": 38}","{""0"": 38}","{""6"": 38}",0.4609,0.5225,0.0889,0.1504,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""terrain""]","{""0"": 183, ""13"": 13, ""37"": 73, ""42"": 206, ""49"": 122, ""58"": 7, ""59"": 100}","[933.3, 935.1]","[-944.3, -939.5]"
14,15,68,204,8.88,4.58,6.02,16.0,24.879,-64.0,-59.418,2.969,8.988,1,68,True,"[""beach1""]","{""2030"": 68}","{""59"": 68}","{""0"": 68}","{""7"": 68}",0.3984,0.5225,0.1562,0.3525,48,"[0, 1, 3, 7]",1,"[""beach1"", ""object"", ""terrain""]","{""0"": 371, ""3"": 12, ""31"": 16, ""37"": 100, ""42"": 46, ""49"": 35, ""59"": 4}","[912.0, 920.9]","[-1024.0, -1019.4]"
14,16,95,285,6.43,6.62,12.7,0.0,6.43,-64.0,-57.379,27.055,39.758,1,95,False,[],"{""36590"": 95}","{""59"": 95}","{""2"": 95}","{""14"": 95}",0.2637,0.6885,0.042,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 4, ""10"": 223, ""36"": 79, ""37"": 4, ""49"": 280, ""59"": 1}","[896.0, 902.4]","[-1088.0, -1081.4]"
14,17,113,339,7.39,5.45,10.43,0.0,7.395,-5.453,0.0,27.812,38.242,1,113,False,[],"{""36590"": 113}","{""59"": 113}","{""2"": 113}","{""14"": 113}",0.2637,0.6885,0.042,0.9951,48,"[0, 1, 3, 7]",1,"[""object"", ""river"", ""terrain""]","{""0"": 14, ""10"": 94, ""49"": 461, ""59"": 94}","[896.0, 903.4]","[-1093.5, -1088.0]"
15,10,34,102,5.34,3.38,4.64,0.0,5.336,-64.0,-60.617,7.199,11.844,1,34,False,[],"{""2542"": 34}","{""59"": 34}","{""0"": 34}","{""9"": 34}",0.4824,0.5898,0.2236,0.8525,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 11, ""10"": 50, ""13"": 28, ""36"": 54, ""37"": 46, ""49"": 417}","[960.0, 965.3]","[-704.0, -700.6]"
15,11,156,468,7.27,11.59,9.07,0.0,7.273,-11.594,0.0,2.77,11.844,1,156,False,[],"{""2542"": 156}","{""59"": 156}","{""0"": 156}","{""9"": 156}",0.3945,0.5898,0.0312,0.8594,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 189, ""10"": 19, ""16"": 91, ""49"": 218, ""59"": 79}","[960.0, 967.3]","[-715.6, -704.0]"
16,1,2,6,3.55,4.16,4.32,49.473,53.027,-44.52,-40.359,2.734,7.055,1,2,True,"[""beach1"", ""sea3"", ""sea4"", ""sea5""]","{""14830"": 2}","{""59"": 2}","{""0"": 2}","{""57"": 2}",0.5957,0.626,0.0947,0.125,48,"[0, 1, 3, 7]",1,"[""beach1"", ""object"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""4"": 28, ""17"": 152, ""32"": 1, ""49"": 195, ""58"": 58}","[1073.5, 1077.0]","[-108.5, -104.4]"
16,11,131,393,5.88,15.38,7.04,10.117,16.0,-58.688,-43.309,32.898,39.934,1,131,False,[],"{""238"": 72, ""2542"": 59}","{""59"": 131}","{""0"": 131}","{""0"": 72, ""9"": 59}",0.2031,0.3223,0.3545,0.4131,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 32, ""10"": 49, ""13"": 20, ""36"": 58, ""49"": 454, ""59"": 82}","[1034.1, 1040.0]","[-762.7, -747.3]"
16,14,75,225,59.69,16.77,13.72,4.312,64.0,-64.0,-47.227,2.125,15.848,2,35,False,[],"{""4050"": 16, ""4078"": 59}","{""52"": 16, ""59"": 59}","{""0"": 75}","{""15"": 75}",0.0713,0.4551,0.2236,0.5234,48,"[0, 1, 3, 7]",1,"[""object"", ""stream"", ""terrain""]","{""0"": 372, ""37"": 101, ""49"": 45, ""62"": 107}","[1028.3, 1088.0]","[-960.0, -943.2]"
16,15,3,9,4.0,1.05,4.21,60.0,64.0,-1.051,0.0,8.141,12.355,1,3,True,"[""beach1"", ""sea1"", ""sea2"", ""sea3"", ""sea4"", ""sea5""]","{""4078"": 3}","{""59"": 3}","{""0"": 3}","{""15"": 3}",0.0713,0.1025,0.2842,0.3145,48,"[0, 1, 3, 7]",1,"[""beach1"", ""object"", ""riverjoint"", ""sea1"", ""sea2"", ""sea3"", ""sea4"", ""sea5"", ""stream"", ""terrain""]","{""0"": 222, ""31"": 34, ""62"": 37}","[1084.0, 1088.0]","[-961.1, -960.0]"
17,12,168,504,22.46,21.27,5.44,4.0,26.461,-44.906,-23.641,26.07,31.508,2,82,False,[],"{""554"": 7, ""750"": 146, ""16938"": 3, ""17134"": 12}","{""10"": 10, ""59"": 158}","{""0"": 153, ""1"": 15}","{""2"": 168}",0.4707,0.6211,0.0215,0.9648,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 98, ""10"": 170, ""36"": 41, ""37"": 6, ""49"": 248, ""59"": 3}","[1092.0, 1114.5]","[-812.9, -791.6]"
17,14,35,105,8.8,16.77,7.89,0.0,8.801,-64.0,-47.227,7.953,15.848,1,35,False,[],"{""4078"": 35}","{""59"": 35}","{""0"": 35}","{""15"": 35}",0.0713,0.4551,0.2236,0.3145,48,"[0, 1, 3, 7]",1,"[""object"", ""stream"", ""terrain""]","{""0"": 208, ""10"": 19, ""13"": 5, ""37"": 171, ""49"": 119, ""51"": 1, ""59"": 148, ""62"": 44}","[1088.0, 1096.8]","[-960.0, -943.2]"
17,15,3,9,4.0,1.05,4.4,0.0,4.0,-1.051,0.0,7.953,12.355,1,3,True,"[""beach1"", ""sea1"", ""sea2"", ""sea3"", ""sea4"", ""sea5""]","{""4078"": 3}","{""59"": 3}","{""0"": 3}","{""15"": 3}",0.1025,0.1338,0.2842,0.3145,48,"[0, 1, 3, 7]",1,"[""beach1"", ""object"", ""sea1"", ""sea2"", ""sea3"", ""sea4"", ""sea5"", ""terrain""]","{""0"": 275, ""3"": 12, ""13"": 2, ""31"": 38, ""49"": 24, ""58"": 15}","[1088.0, 1092.0]","[-961.1, -960.0]"
18,4,15,45,4.65,5.04,3.81,29.641,34.289,-30.645,-25.609,7.0,10.812,1,15,True,"[""sea3""]","{""15598"": 15}","{""59"": 15}","{""0"": 15}","{""60"": 15}",0.4707,0.5322,0.5293,0.5908,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""terrain""]","{""17"": 160, ""41"": 64, ""49"": 344, ""58"": 16, ""59"": 10}","[1181.6, 1186.3]","[-286.6, -281.6]"
18,5,15,45,21.86,18.68,2.38,5.074,26.93,-55.379,-36.699,3.824,6.207,3,5,True,"[""sea3"", ""sea4""]","{""31982"": 15}","{""59"": 15}","{""1"": 15}","{""60"": 15}",0.502,0.5635,0.4258,0.4873,48,"[0, 1, 3, 7]",1,"[""object"", ""sea3"", ""sea4"", ""terrain""]","{""4"": 303, ""17"": 203, ""58"": 35, ""59"": 37}","[1157.1, 1178.9]","[-375.4, -356.7]"
18,11,1,3,1.72,4.14,0.39,62.277,64.0,-44.777,-40.641,3.371,3.758,1,1,False,[],"{""16386"": 1}","{""0"": 1}","{""1"": 1}","{""0"": 1}",0.4033,0.4248,0.6279,0.6582,48,"[0, 1, 3, 7]",1,"[""object"", ""terrain""]","{""0"": 130, ""10"": 5, ""13"": 14, ""49"": 423}","[1214.3, 1216.0]","[-748.8, -744.6]"
