tris,verts,nblocks,blocks,dx,dz,dy,wx,wz,y,cx,cz,coast_d,coast_part,nearest,nearest_loc,nearest_d,markers_in_bbox,topos,areas,events,idalls
2,4,1,"[[6, 10]]",3.2,4.0,6.4,"[422.9, 426.1]","[-648.0, -644.0]","[3.86, 10.23]",424.5,-646.0,18.8,sea3,Air Garden (Canyon),56,50.4,[],[59],[41],[0],"{""10734"": 2}"
2,4,1,"[[9, 1]]",3.8,3.9,3.7,"[576.0, 579.8]","[-92.9, -89.0]","[3.71, 7.42]",577.9,-90.9,21.9,sea3,Fire Shrine,48,78.1,[],[59],[56],[0],"{""14574"": 2}"
2,4,1,"[[16, 1]]",3.6,4.2,4.3,"[1073.5, 1077.0]","[-108.5, -104.4]","[2.73, 7.05]",1075.2,-106.4,16.6,sea4,Mognet Central,28,0.4,"[""Mognet Central""]",[59],[57],[0],"{""14830"": 2}"
2,4,1,"[[5, 11]]",4.6,4.5,4.6,"[374.9, 379.5]","[-732.5, -728.0]","[6.88, 11.51]",377.2,-730.3,45.4,sea4,Oeilvert,41,70.2,[],[59],[41],[0],"{""10734"": 2}"
3,4,1,"[[3, 9]]",0.4,0.3,1.4,"[224.5, 224.8]","[-608.5, -608.2]","[0.0, 1.39]",224.6,-608.3,0.0,sea4,Water Shrine,43,1.8,"[""Water Shrine""]",[59],[0],[0],"{""238"": 3}"
3,5,1,"[[8, 14]]",1.1,0.6,5.5,"[512.9, 514.0]","[-908.0, -907.4]","[1.0, 6.5]",513.5,-907.7,33.7,sea3,Wind Shrine,38,3.9,"[""Wind Shrine""]",[59],[45],[1],"{""28142"": 3}"
4,5,1,"[[3, 9]]",0.6,0.7,2.0,"[223.3, 223.8]","[-608.9, -608.2]","[0.0, 2.04]",223.5,-608.6,0.0,sea4,Water Shrine,43,1.3,"[""Water Shrine""]",[59],[0],[0],"{""238"": 4}"
4,6,1,"[[13, 4]]",7.6,5.8,0.9,"[851.7, 859.2]","[-276.7, -270.9]","[6.01, 6.89]",855.4,-273.8,7.7,sea4,CP Mountain Path,35,5.5,"[""CP Mountain Path""]","[17, 59]",[34],"[0, 1]","{""8942"": 2, ""25158"": 2}"
5,6,1,"[[18, 5]]",2.2,2.6,2.3,"[1157.1, 1159.3]","[-371.6, -369.1]","[3.88, 6.14]",1158.2,-370.3,40.9,sea4,Earth Shrine,26,10.3,[],[59],[60],[1],"{""31982"": 5}"
5,6,1,"[[18, 5]]",2.6,2.7,2.4,"[1168.7, 1171.2]","[-359.4, -356.7]","[3.82, 6.21]",1170.0,-358.0,41.4,sea3,Earth Shrine,26,9.8,[],[59],[60],[1],"{""31982"": 5}"
5,6,1,"[[18, 5]]",2.4,3.0,1.8,"[1176.5, 1178.9]","[-375.4, -372.4]","[3.93, 5.75]",1177.7,-373.9,27.9,sea4,Earth Shrine,26,11.4,[],[59],[60],[1],"{""31982"": 5}"
5,7,1,"[[0, 0]]",4.0,3.0,2.8,"[32.0, 36.0]","[-36.0, -33.0]","[5.27, 8.04]",34.0,-34.5,11.1,sea4,Esto Gaza,47,395.5,[],[59],[63],[0],"{""16366"": 5}"
8,9,2,"[[18, 11], [19, 11]]",6.6,7.3,4.1,"[1214.3, 1220.9]","[-750.7, -743.5]","[3.2, 7.3]",1217.6,-747.1,116.6,beach1,Evil Forest,2,0.3,"[""Evil Forest""]","[0, 49]",[0],"[0, 1]","{""198"": 4, ""16386"": 4}"
8,9,1,"[[20, 11]]",8.0,8.3,0.8,"[1280.6, 1288.6]","[-715.9, -707.7]","[26.43, 27.27]",1284.6,-711.8,65.2,sea4,Alexandria,1,13.0,[],[59],[22],[0],"{""5870"": 8}"
10,11,2,"[[19, 10], [19, 11]]",8.0,8.8,0.7,"[1268.0, 1276.0]","[-704.8, -696.0]","[26.46, 27.12]",1272.0,-700.4,71.7,sea4,Alexandria,1,12.0,[],[59],[22],[0],"{""5870"": 10}"
13,15,2,"[[7, 13], [7, 14]]",5.3,28.0,6.6,"[506.7, 512.0]","[-908.0, -880.0]","[-1.79, 4.84]",509.3,-894.0,33.4,sea3,Wind Shrine,38,10.5,"[""Wind Shrine""]",[59],[45],"[0, 1]","{""11758"": 5, ""28142"": 8}"
14,13,1,"[[5, 15]]",3.4,4.0,4.3,"[370.7, 374.1]","[-1024.0, -1020.0]","[25.1, 29.4]",372.4,-1022.0,24.3,sea3,Daguerreo,39,8.6,[],[59],[48],[0],"{""12526"": 14}"
14,13,1,"[[19, 11]]",10.1,10.5,0.7,"[1269.5, 1279.6]","[-714.5, -704.0]","[26.46, 27.13]",1274.6,-709.2,72.0,sea4,Alexandria,1,14.0,"[""Alexandria""]",[59],[22],[0],"{""5870"": 14}"
14,16,2,"[[8, 13], [8, 14]]",3.8,28.0,6.6,"[513.0, 516.8]","[-908.0, -880.0]","[-1.79, 4.84]",514.9,-894.0,34.5,sea3,Wind Shrine,38,10.0,"[""Wind Shrine""]",[59],[45],"[0, 1]","{""11758"": 5, ""28142"": 9}"
15,11,1,"[[3, 9]]",0.9,1.1,3.4,"[222.9, 223.8]","[-607.8, -606.8]","[0.0, 3.41]",223.4,-607.3,0.0,sea4,Water Shrine,43,0.2,"[""Water Shrine""]",[59],[0],[0],"{""238"": 15}"
15,14,1,"[[18, 4]]",4.6,5.0,3.8,"[1181.6, 1186.3]","[-286.6, -281.6]","[7.0, 10.81]",1184.0,-284.1,23.1,sea3,Desert Palace,27,6.8,"[""Desert Palace""]",[59],[60],[0],"{""15598"": 15}"
18,14,1,"[[21, 14]]",5.2,4.0,4.8,"[1397.0, 1402.2]","[-923.3, -919.2]","[26.07, 30.84]",1399.6,-921.2,38.3,sea4,Quan Dwelling,4,1.5,"[""Quan Dwelling""]",[59],[10],[0],"{""2798"": 18}"
24,17,1,"[[14, 6]]",8.8,8.6,2.7,"[949.6, 958.3]","[-394.3, -385.7]","[5.86, 8.57]",953.9,-390.0,32.4,sea3,Black Mage Village,30,0.7,"[""Black Mage Village""]",[59],[28],[0],"{""7406"": 24}"
26,20,1,"[[9, 17]]",9.0,8.9,6.8,"[591.0, 600.0]","[-1132.9, -1124.0]","[-0.06, 6.77]",595.5,-1128.4,0.0,sea3,Chocobo Lagoon,37,3.5,"[""Chocobo Lagoon""]","[55, 58, 59]","[0, 49]","[0, 1]","{""234"": 5, ""238"": 4, ""12782"": 14, ""16606"": 3}"
30,21,1,"[[14, 6]]",14.9,5.0,3.9,"[913.1, 928.0]","[-401.7, -396.7]","[1.6, 5.53]",920.5,-399.2,5.6,sea3,Fossil Roo,31,2.9,"[""Fossil Roo""]","[49, 59]",[27],[0],"{""7110"": 2, ""7150"": 28}"
